Record,New/Recap,BanderID,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Day,Month,Year,OrdDay,Time,Wing,Tail,Fat Score,Mass,Age,How Aged,Eye,Skull,Field Sex,PCRsex,Field Morph,PCRMorph,P4Mass,P4Mass,P4Length,Banded_Location,Images Yes/No,Blood Yes/No,P4 Yes/No,Feather Data,FGenType,Fgen,Tail,Latitude,Longitude,County,State,Comments
1,N,SW,2831-20020,WTSP,W001,R-W/YEL,RED/A,12-Oct-20,12,10,2020,286,840,78,x,1,28.1,AHY,X,x,x,U,M,WS,WS,0.0112,11.2,65.9,EMERALD,Y,Y,Y,Y,1,B,X,36.53908,-87.36114,Montgomery,TN,
2,N,SW,2831-20022,WTSP,W002,R-W/YEL,YEL/A,16-Oct-20,16,10,2020,290,830,77,75,0,26.1,AHY,X,x,x,U,M,X,TS,0.0112,11.2,63.7,EMERALD,Y,Y,Y,Y,1,B,basic,36.53908,-87.36114,Montgomery,TN,
3,N,SW,2831-20023,WTSP,W003,R-W/YEL,ORG/A,16-Oct-20,16,10,2020,290,920,75,73,0,25,AHY,X,x,x,U,M,WS,WS,0.011,11,64,EMERALD,Y,Y,Y,Y,1,B,basic,36.53908,-87.36114,Montgomery,TN,
4,N,SW,2831-20041,WTSP,W004,R-W/YEL,GRN/A,22-Oct-20,22,10,2020,296,1600,71,71,2,26.6,AHY,X,x,-5,U,F,X,TS,0.0084,8.4,58.2,EASTERN,Y,Y,Y,Y,0,J,basic,36.51812,-87.31848,Montgomery,TN,
5,N,SW,2831-20043,WTSP,W005,R-W/YEL,WHT/A,25-Oct-20,25,10,2020,299,1210,73,70,3,26.5,HY,X,x,-5,U,F,X,TS,0.0083,8.3,60.1,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
6,N,SW,2831-20046,WTSP,W006,R-W/YEL,DKB/A,25-Oct-20,25,10,2020,299,1320,76,75,T,27.6,HY,X,x,5,U,M,X,WS,0.0105,10.5,64,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
7,N,SW,2831-20048,WTSP,W007,R-W/YEL,B-R/A,28-Oct-20,28,10,2020,302,740,75,75,1,27.1,AHY,X,x,-6,U,M,X,TS,0.01,10,63.4,EASTERN,Y,Y,Y,Y,1,B,X,36.51812,-87.31848,Montgomery,TN,
8,N,SW,2831-20049,WTSP,W008,R-W/RED,RED/A,28-Oct-20,28,10,2020,302,850,67,x,T,21,HY,X,x,4,F,M,X,TS,0.0078,7.8,57.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
9,N,SW,2831-20050,WTSP,W009,R-W/RED,YEL/A,28-Oct-20,28,10,2020,302,850,69,72,2,23.3,AHY,X,x,6,U,F,X,TS,0.0082,8.2,58.6,EASTERN,Y,Y,Y,Y,1,B,X,36.51812,-87.31848,Montgomery,TN,
10,N,SW,2831-20053,WTSP,W010,R-W/RED,ORG/A,31-Oct-20,31,10,2020,305,850,69,70,2,23.6,AHY,X,x,x,U,F,X,TS,0.0086,8.6,60.7,EASTERN,Y,Y,Y,Y,1,B,X,36.51812,-87.31848,Montgomery,TN,
